,Start,End,Time Series Start,Time Series End,Unit,Fuel classification,Pmax available,Pmax available after the outage,Reason,Last updated
0,2022-07-17T17:00:00+02:00,2022-07-17T18:30:00+02:00,2022-07-17T17:00:00+02:00,2022-07-17T18:30:00+02:00,Marcinelle Energie (Carsid),NG,413.0,0.0,Technical Failure,2022-07-17T17:58:17+02:00
1,2022-07-17T17:00:00+02:00,2022-07-17T18:00:00+02:00,2022-07-17T17:00:00+02:00,2022-07-17T18:00:00+02:00,Marcinelle Energie (Carsid),NG,413.0,0.0,Technical Failure,2022-07-17T17:34:49+02:00
2,2022-07-14T06:34:00+02:00,2022-07-14T18:00:00+02:00,2022-07-14T06:34:00+02:00,2022-07-14T18:00:00+02:00,Zelzate 2 Knippegroen,NG,315.0,220.0,Awaiting information,2022-07-14T16:16:14+02:00
3,2022-07-14T05:00:00+02:00,2022-07-14T06:00:00+02:00,2022-07-14T05:00:00+02:00,2022-07-14T06:00:00+02:00,Marcinelle Energie (Carsid),NG,413.0,0.0,Technical Failure,2022-07-14T05:53:46+02:00
4,2022-07-13T14:43:00+02:00,2022-07-15T16:00:00+02:00,2022-07-13T14:43:00+02:00,2022-07-15T16:00:00+02:00,Amercoeur 1 R ST,NG,162.0,0.0,Awaiting information,2022-07-14T20:35:23+02:00
5,2022-07-13T14:43:00+02:00,2022-07-15T16:00:00+02:00,2022-07-13T14:43:00+02:00,2022-07-15T16:00:00+02:00,Amercoeur 1 R GT,NG,289.0,0.0,Awaiting information,2022-07-14T20:35:21+02:00
6,2022-07-08T12:05:00+02:00,2022-07-08T12:43:00+02:00,2022-07-08T12:05:00+02:00,2022-07-08T12:43:00+02:00,COO 4 T,WA,230.0,0.0,Awaiting information,2022-07-08T12:43:20+02:00
7,2022-07-07T18:00:00+02:00,2022-07-07T20:00:00+02:00,2022-07-07T18:00:00+02:00,2022-07-07T20:00:00+02:00,Marcinelle Energie (Carsid),NG,413.0,0.0,Technical Failure,2022-07-07T18:51:16+02:00
8,2022-07-07T12:30:00+02:00,2022-07-08T23:30:00+02:00,2022-07-07T12:30:00+02:00,2022-07-08T23:30:00+02:00,DOEL 1,NU,445.0,470.0,Planned maintenance,2022-07-07T13:40:42+02:00
9,2022-07-07T08:22:00+02:00,2022-07-27T17:00:00+02:00,2022-07-07T08:22:00+02:00,2022-07-27T17:00:00+02:00,Schaerbeek Siomab ST2,Other,15.0,0.0,Fuel Supply Failure,2022-07-07T08:24:15+02:00
10,2022-07-06T13:34:00+02:00,2022-07-06T14:30:00+02:00,2022-07-06T13:34:00+02:00,2022-07-06T14:30:00+02:00,DROGENBOS GT1,NG,150.0,142.42,Test,2022-07-06T13:35:36+02:00
11,2022-07-06T13:34:00+02:00,2022-07-06T14:30:00+02:00,2022-07-06T13:34:00+02:00,2022-07-06T14:30:00+02:00,DROGENBOS ST,NG,160.0,153.38,Test,2022-07-06T13:35:39+02:00
12,2022-07-06T13:34:00+02:00,2022-07-06T14:30:00+02:00,2022-07-06T13:34:00+02:00,2022-07-06T14:30:00+02:00,DROGENBOS GT2,NG,150.0,142.42,Test,2022-07-06T13:35:38+02:00
